funcion_entrenamiento,n_neurons,avg_c,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,tiempo_entrenamiento
trainscg,48,0.0565138888888889,121.7,16.7,27.6,2.8,26.4,338.8,14.5,6.5,6645,1.565625
trainscg,49,0.0594444444444444,112,11,43,2.9,11,354.1,14.3,2.7,6649,3.3796875
trainscg,50,0.0584861111111111,118.3,16,31.7,2.2,12.7,353.1,13.3,4.8,6647.9,1.515625
traincgb,1,0.0682638888888889,41.1,2.7,122.2,8.7,9.2,350.1,4.3,3.5,6658.2,0.5234375
traincgb,2,0.0634722222222222,78.2,8,79.8,14.6,20.3,333.1,10.2,11.3,6644.5,0.765625
traincgb,3,0.0570833333333333,91.2,18.6,56.2,19,59.6,289.4,10.6,17.2,6638.2,1.375
traincgb,4,0.055625,103,12.9,50.1,13.8,53.9,300.3,13.7,9.7,6642.6,1.2546875
traincgb,5,0.0475277777777778,131.6,17.7,16.7,21.3,93.3,253.4,16.4,16.7,6632.9,1.6765625
traincgb,6,0.0521111111111111,135.1,10.6,20.3,14.8,51.9,301.3,17.5,10.7,6637.8,1.359375
traincgb,7,0.0414444444444444,133.6,15,17.4,11.6,131.1,225.3,14.5,14.6,6636.9,2.39375
traincgb,8,0.0435972222222222,127.9,22,16.1,11.4,126.2,230.4,13,21,6632,1.8515625
traincgb,9,0.0523888888888889,117.9,15.1,33,10.7,66.7,290.6,13.5,14.3,6638.2,1.584375
traincgb,10,0.0527083333333333,129.6,20.8,15.6,12.1,60.8,295.1,16.7,19.2,6630.1,1.4578125
traincgb,11,0.0377361111111111,131.5,15.3,19.2,7,159.9,201.1,14.3,14.8,6636.9,2.878125
traincgb,12,0.0531388888888889,126.9,17.3,21.8,10.9,51,306.1,16,10.5,6639.5,1.578125
traincgb,13,0.0511111111111111,131,13.8,21.2,12.3,63.7,292,16.4,12.3,6637.3,1.8078125
traincgb,14,0.0392222222222222,132.6,16.6,16.8,6.6,150.5,210.9,16,15.5,6634.5,2.9234375
traincgb,15,0.0489722222222222,132.3,17.7,16,5.1,80.6,282.3,19.5,12,6634.5,2.11875
traincgb,16,0.04175,132.2,17.5,16.3,7.3,131.9,228.8,16.1,14.6,6635.3,2.36875
traincgb,17,0.0496805555555556,128.8,18.1,19.1,9.4,77.1,281.5,14.4,15.2,6636.4,1.9484375
traincgb,18,0.0485694444444445,129.1,18.1,18.8,8,83.6,276.4,14.1,14.3,6637.6,2.1734375
traincgb,19,0.0503888888888889,126.2,18.9,20.9,7.4,69.7,290.9,12.5,12.2,6641.3,2.16875
traincgb,20,0.0429444444444444,129.5,19.6,16.9,6.8,122.8,238.4,13.3,14.2,6638.5,2.9265625
traincgb,21,0.0421666666666667,133.4,15.8,16.8,7.5,127.4,233.1,15.6,14.8,6635.6,2.6578125
traincgb,22,0.0529444444444444,131.8,16.5,17.7,9.7,52.9,305.4,17.3,14.6,6634.1,1.6828125
traincgb,23,0.050875,129.9,16.3,19.8,7.6,65,295.4,16.2,11,6638.8,2.146875
traincgb,24,0.054625,128.4,12.7,24.9,5.6,35.7,326.7,16.2,7.2,6642.6,1.7015625
traincgb,25,0.0518888888888889,131.8,13,21.2,9.3,55.4,303.3,15.9,10.9,6639.2,2.0515625
traincgb,26,0.0557916666666667,126.2,18.6,21.2,4.8,33.6,329.6,18.4,9.1,6638.5,1.534375
traincgb,27,0.0437361111111111,129.2,18.9,17.9,6.9,120.8,240.3,15.7,15.2,6635.1,3.26875
traincgb,28,0.0465694444444444,128.4,16.4,21.2,6.1,97.1,264.8,14.5,12.3,6639.2,2.603125
traincgb,29,0.0470694444444444,130.3,16,19.7,6.4,93.6,268,15.5,13.3,6637.2,2.859375
traincgb,30,0.0526388888888889,128.6,16.5,20.9,6.1,53.7,308.2,16.3,11,6638.7,2.19375
traincgb,31,0.0460277777777778,130.9,18.9,16.2,5.6,103.2,259.2,17.9,13.6,6634.5,3.2109375
traincgb,32,0.0495694444444444,128.3,19.1,18.6,4.7,79.2,284.1,17,13.4,6635.6,2.459375
traincgb,33,0.0477916666666667,128.5,16.7,20.8,4.8,88.1,275.1,15.1,11.6,6639.3,2.846875
traincgb,34,0.0507916666666667,124.8,20.6,20.6,4.8,70.7,292.5,15.3,11.9,6638.8,2.534375
traincgb,35,0.0474166666666667,129.3,19.8,16.9,5,92.5,270.5,15.8,13.4,6636.8,3.34375
traincgb,36,0.0441944444444444,131.8,18.7,15.5,4.2,115.7,248.1,16.6,15.1,6634.3,3.3671875
traincgb,37,0.0504166666666667,132.2,15.5,18.3,4.8,66.5,296.7,18.3,9.4,6638.3,2.9796875
traincgb,38,0.0484583333333333,130.7,14.7,20.6,3.6,83.1,281.3,17.2,11.5,6637.3,3.1359375
traincgb,39,0.0454444444444444,132.7,16.2,17.1,4.5,100.4,263.1,16.1,10.2,6639.7,3.7984375
traincgb,40,0.0459583333333333,130,18.2,17.8,4,106.3,257.7,16.3,16.9,6632.8,3.4984375
traincgb,41,0.0480833333333333,129.9,17.5,18.6,4.3,86.5,277.2,14.6,14,6637.4,3.271875
traincgb,42,0.0529583333333333,127.4,17.9,20.7,3.2,51.1,313.7,15.5,10.3,6640.2,2.6734375
traincgb,43,0.0421388888888889,131,17.6,17.4,4,128.9,235.1,13.8,15.5,6636.7,4.6296875
traincgb,44,0.0549861111111111,124.7,16,25.3,4.5,36.9,326.6,15.8,7.7,6642.5,2.284375
traincgb,45,0.055375,126.2,16.4,23.4,4.7,36.5,326.8,15.6,11.8,6638.6,2.390625
traincgb,46,0.0421388888888889,131.7,15.4,18.9,3.7,126.8,237.5,16,11.9,6638.1,4.4484375
traincgb,47,0.0469305555555556,130.9,16.9,18.2,3.7,94.9,269.4,18.5,11.2,6636.3,3.8859375
traincgb,48,0.0541388888888889,124.9,20.2,20.9,4.9,47.5,315.6,15.3,12.9,6637.8,2.3703125
traincgb,49,0.0499583333333333,130,15.5,20.5,4.1,69.6,294.3,16.4,8.9,6640.7,3.3578125
traincgb,50,0.0492638888888889,130.4,17.4,18.2,5.9,77,285.1,17.6,10.5,6637.9,3.39375
traincgf,1,0.0741388888888889,0,0,166,0,0.2,367.8,0,0,6666,0.3890625
traincgf,2,0.0721527777777778,13.7,2,150.3,3.6,6.2,358.2,1.8,3.6,6660.6,0.609375
traincgf,3,0.0727777777777778,31.2,11.4,123.4,6.5,1.7,359.8,16.7,6.2,6643.1,0.70625
traincgf,4,0.0691805555555556,47.7,5.5,112.8,3.4,8.7,355.9,10.1,10.4,6645.5,0.6859375
traincgf,5,0.0673472222222222,84.1,11.5,70.4,13.3,11.7,343,20.7,26,6619.3,0.81875
traincgf,6,0.0658055555555555,95.6,35.6,34.8,13.2,33.5,321.3,15.5,53.4,6597.1,1.1046875
traincgf,7,0.0649305555555556,96.1,17.8,52.1,14.3,4,349.7,21.5,12.1,6632.4,0.9875
traincgf,8,0.0610416666666667,112.2,15.9,37.9,18.2,33.9,315.9,21.3,30.3,6614.4,1.090625
traincgf,9,0.0574583333333333,132.3,9.4,24.3,14.7,21.3,332,23.5,9.8,6632.7,1.271875
traincgf,10,0.0635972222222222,119,23.1,23.9,16.2,21.9,329.9,34.3,30.5,6601.2,1.225
traincgf,11,0.0560972222222222,125,18.5,22.5,12.3,43.7,312,16.1,22.5,6627.4,1.65625
traincgf,12,0.0593611111111111,122.3,20.8,22.9,12.3,23.5,332.2,20.8,18.4,6626.8,1.1671875
traincgf,13,0.0619444444444444,105.1,32.1,28.8,9.5,26.1,332.4,16.4,26.8,6622.8,1.2578125
traincgf,14,0.0577916666666667,122.2,14.6,29.2,10,22.6,335.4,17.5,9.4,6639.1,1.3515625
traincgf,15,0.0592361111111111,117.4,16.9,31.7,8.8,22.1,337.1,17.4,14.6,6634,1.3046875
traincgf,16,0.0572916666666667,125.6,17.3,23.1,10.8,26.1,331.1,18,12.2,6635.8,1.4390625
traincgf,17,0.0539722222222222,130.1,17.2,18.7,13,51.3,303.7,17.1,18.9,6630,1.8359375
traincgf,18,0.0534722222222222,129.5,17.5,19,9.8,52.5,305.7,17.7,15.3,6633,1.84375
traincgf,19,0.0580138888888889,123.2,22,20.8,8.6,21.8,337.6,17.3,11.4,6637.3,1.5328125
traincgf,20,0.053375,130.6,15.4,20,8.4,50.7,308.9,19.8,11.8,6634.4,1.765625
traincgf,21,0.0521805555555555,128.4,18.4,19.2,12.4,61.9,293.7,14.5,17.5,6634,1.9234375
traincgf,22,0.0549166666666667,130.4,17.1,18.5,10.1,39.6,318.3,18.3,13.1,6634.6,1.6640625
traincgf,23,0.0525555555555556,131.2,17.4,17.4,11.3,58.9,297.8,15.8,18.7,6631.5,2.0484375
traincgf,24,0.0511944444444444,132.7,13.8,19.5,10.1,63.7,294.2,18.4,12.6,6635,2.1734375
traincgf,25,0.0506527777777778,130.4,17.2,18.4,8.1,72.1,287.8,17,16.2,6632.8,2.1484375
traincgf,26,0.05525,128.1,17.9,20,7.8,40.7,319.5,16.6,16,6633.4,1.790625
traincgf,27,0.0559305555555556,126.8,17.2,22,8.8,33,326.2,16.3,12.2,6637.5,1.871875
